Fact_Check_Link,Tweet_Topic
https://www.altnews.in/fake-aaj-tak-tweet-created-to-claim-bjp-apologised-to-the-gandhi-family/,Politics
https://www.altnews.in/fake-abp-news-graphic-plates-ascribe-false-statements-to-rahul-gandhi/,Politics
https://www.altnews.in/fake-axis-bank-cheque-again-viral-claiming-diamond-merchant-and-fugitive-nirav-modi-paid-98-crores-to-congress-party/,Politics
https://www.altnews.in/fake-cashews-manufactured-no-these-are-cashew-shaped-snacks-made-out-of-flour/,Society
https://www.altnews.in/fake-letter-bjp-rajesh-bhatiya-against-farmer-protest/,Politics
https://www.altnews.in/fake-letter-yogi-adityanath-pm-modi-hindu-rashtra/,Politics
https://www.altnews.in/fake-list-of-56-chinese-soldiers-who-died-in-galwan-valley-created-using-wikipedia-page/,Politics
https://www.altnews.in/fake-news18-screenshot-shared-to-claim-57-covid-positive-cases-after-comedk-exam-in-karnataka/,Society
https://www.altnews.in/fake-statement-of-kapil-dev-criticizing-jay-shah-to-suppress-cricketers-voice-viral-on-social-media/,Politics
https://www.altnews.in/fake-tweet-of-rahul-gandhi-asking-why-neeraj-chopra-standing-on-second-position-instead-of-winning-gold/,Politics
https://www.altnews.in/fake-tweets-ascribed-to-journalists-after-bjps-win-in-up/,Politics
https://www.altnews.in/fake-tweets-attributed-to-cnn-viral-amidst-russia-ukraine-crisis/,Politics
https://www.altnews.in/fake-tweets-portrays-bjps-priti-gandhi-claiming-her-husband-escaped-capitol-hill-rioting/,Politics
https://www.altnews.in/fake-whatsaap-forwards-claiming-pm-unemployment-allowance-pradhanmantri-berojgar-bhatta-yojna/,Politics
https://www.altnews.in/false-claim-of-muslim-girl-is-beaten-up-after-seeing-with-hindu-man-video-viral-with-communal-angle/,Religion
https://www.altnews.in/false-claim-of-muslims-mocking-hindu-religion-by-dancing-around-the-fire/,Religion
https://www.altnews.in/false-claim-of-tirupati-balaji-temple-chairman-is-christian-and-a-trustee-of-siddhi-vinayak-is-muslim-viral-on-social-media/,Religion
https://www.altnews.in/false-claim-sabarimala-temple-aravana-prasadam-is-made-by-uaes-al-zahaa/,Politics
https://www.altnews.in/false-claim-suggests-kurnool-mla-hafeez-khan-forced-nurse-to-wash-imams-feet/,News
https://www.altnews.in/false-claim-that-us-researcher-dr-lieber-made-and-sold-coronavirus-to-china-continues-to-float-online/,Politics
https://www.altnews.in/false-claims-about-safoora-zargar-marriage-and-pregnancy-viral-on-social-media/,Religion
https://www.altnews.in/false-news-that-dr-fauci-has-been-sacked-as-chief-medical-adviser-to-us-president-viral/,News
https://www.altnews.in/farmers-protest-old-video-viral-as-thousands-of-nihang-sikhs-march-for-delhi-from-punjab/,Politics
https://www.altnews.in/fictional-congress-mla-anil-upadhyay-revived-with-another-video/,Politics
https://www.altnews.in/fight-between-customers-and-staff-in-harayana-dhaba-falsely-communalised/,Religion
https://www.altnews.in/filming-of-russian-music-video-viral-with-hoax-claim-that-covid-is-a-conspiracy/,Society
https://www.altnews.in/fir-against-sudhir-chaudhary-no-badge-of-honour-jihad-chart-lifted-from-dubious-page/,Media
https://www.altnews.in/five-yr-old-image-from-patna-shared-to-claim-no-solidarity-for-recent-bharat-bandh/,Politics
https://www.altnews.in/gajendra-chauhan-shared-old-photo-of-narendra-modi-in-gurjat-as-image-with-barmer-hindus-from-pakistan/,Politics
https://www.altnews.in/gujarat-congress-seva-dal-shares-photo-from-bangladesh-as-aftermath-of-rain-in-india/,Politics
https://www.altnews.in/gujarat-minor-girl-publicly-thrashed-for-eloping-video-viral-as-dalit-girl-beaten-up-in-up-by-upper-cast-men-drawing-water-from-a-well/,Society
https://www.altnews.in/hindi/a-video-of-a-sikh-man-beaten-up-in-ludhiyana-shared-as-pakistan-with-communal-narrative/,समाचार
https://www.altnews.in/hindustan-newspaper-shared-a-9-year-old-image-from-bangladesh-to-show-a-family-got-stuck-for-a-week-in-bihar-flood/,Media
https://www.altnews.in/hoax-letter-claims-donald-trump-wrote-joe-you-know-i-won-to-joe-biden/,News
https://www.altnews.in/hoax-message-that-birds-are-dying-due-to-jio-5g-trials-viral-amid-bird-flu-in-india/,News
https://www.altnews.in/honor-killing-case-of-2018-and-an-unrelated-wedding-card-of-inter-faith-couple-shared-with-false-love-jihad-angle/,Religion
https://www.altnews.in/image-from-2009-linked-with-recent-water-crisis-in-delhi/,Politics
https://www.altnews.in/image-from-yemen-viral-as-dead-body-of-pappu-shukla-from-gujarat-surrounded-by-dogs/,Society
https://www.altnews.in/image-morphed-to-show-us-vp-elect-kamala-harris-wearing-saree/,Politics
https://www.altnews.in/image-of-bjp-workers-dead-body-hanging-from-a-tree-is-from-2018/,Politics
https://www.altnews.in/image-of-convict-hanged-in-nirbhaya-rape-case-falsely-as-juvenile-convict/,Politics
https://www.altnews.in/image-of-muslim-owned-shop-gutted-in-amravati-violence-shared-as-violence-against-hindus/,Politics
https://www.altnews.in/image-of-railway-station-in-ukraine-shared-with-false-claim-that-cricketer-shakib-al-hasan-made-mosque/,Religion
https://www.altnews.in/images-from-west-bengal-where-a-man-sitting-in-pothole-wearing-helmet-shared-as-uttar-pradesh/,Politics
https://www.altnews.in/images-injured-sant-vrindavan-mathura-bangladeshi-hindu-muslim-angle/,News
https://www.altnews.in/images-of-charred-idol-of-hindu-deity-kali-in-west-bengal-viral-with-baseless-communal-angle/,Religion
https://www.altnews.in/images-of-protests-demanding-kt-jaleels-resignation-shared-as-injured-farmers/,Politics
https://www.altnews.in/images-of-protests-held-in-the-past-shared-as-massive-crowd-at-farmers-protest/,Politics
https://www.altnews.in/images-of-underwater-temple-garden-in-bali-shared-as-5000-years-old-statues-found-of-hindu-deities-in-indonesia/,Religion
https://www.altnews.in/india-today-group-times-now-air-old-images-of-pla-cemetery-as-graves-of-chinese-killed-in-galwan/,Media
https://www.altnews.in/indian-army-men-collapse-during-endurance-training-video-viral-with-anti-vax-claim/,News
https://www.altnews.in/indian-journalists-quote-chinese-casualties-based-on-unverified-source/,Politics
https://www.altnews.in/irresponsible-media-reports-spark-anger-against-muslims-and-kerala-in-elephant-death-case/,Media
https://www.altnews.in/joe-biden-inaugral-ceremony-india-wasnt-invited-to-the-event-false-claim-viral-social-media/,Politics
https://www.altnews.in/kangana-ranaut-falsely-claims-she-was-forced-to-vote-for-shiv-sena-in-2019-lok-sabha-polls/,Politics
https://www.altnews.in/killings-cought-on-camera-dongri-mumbai-veravar-market-gujarat-viral-video-false-claim/,Society
https://www.altnews.in/lalu-prasad-yadav-demise-fake-news-viral/,Politics
https://www.altnews.in/locomotive-with-fortune-atta-ad-shared-as-adani-has-taken-over-indian-railways/,Politics
https://www.altnews.in/man-thrashed-on-camera-by-shiv-sena-workers-is-indeed-ex-indian-navy-serviceman/,News
https://www.altnews.in/man-who-said-mandir-chahiye-is-not-dead-false-claim-viral/,Politics
https://www.altnews.in/massive-protest-against-hazaras-killings-pakistan-kargil-laddakh-pok-false/,Politics
https://www.altnews.in/media-passes-photo-of-isis-militant-as-commander-of-hizbul-mujahideen-mehrazuddin-halwai-killed-in-jk/,Media
https://www.altnews.in/misleading-reports-claimed-pakistan-admitted-to-dawood-ibrahims-presence-in-karachi/,Media
https://www.altnews.in/mock-drill-video-shared-as-terrorist-caught-by-delhi-police-in-gaffar-market/,Society
https://www.altnews.in/money-control-misquotes-nobel-laureate-abhijit-banerjee-saying-weak-upa-policies-were-embraced-by-the-current-govt/,Politics
https://www.altnews.in/morphed-image-of-deepika-padukone-wearing-i-stand-with-farmer-t-shirt-is-viral/,Politics
https://www.altnews.in/morphed-image-of-pakitani-leader-viral-in-india-targeting-him/,Politics
https://www.altnews.in/morphed-image-of-time-to-go-cover-featuring-donald-trump-shared-by-journalists/,Politics
https://www.altnews.in/morphed-image-shows-banner-thanking-pm-modi-for-mirabai-chanus-olympic-win/,Politics
https://www.altnews.in/morphed-image-shows-rohit-sharmas-photo-displayed-on-burj-khalifa-after-ipl-win/,News
https://www.altnews.in/morphed-image-used-to-claim-iaf-mocked-pakistan-over-balakot-airstrike-casualties/,Politics
https://www.altnews.in/morphed-opindia-screengrab-claims-greta-thunbergs-real-name-is-ghazala-bhat/,Politics
https://www.altnews.in/morphed-poster-of-cm-kejriwal-congratulating-delhi-for-a-speed-breaker/,Politics
https://www.altnews.in/morphed-screenshot-viral-to-claim-nyts-propaganda-for-aap/,Politics
https://www.altnews.in/mp-congress-digvijay-singh-shared-an-edited-video-of-bjp-leader-shivraj-singh-chauhan-and-claimed-crowed-at-rally-supporting-kamalnath/,Politics
https://www.altnews.in/mp-congress-used-a-three-year-old-mock-drill-video-clip-from-jharkhand-as-shivraj-singh-chauhan-govt-open-fire-on-protesting-farmers/,Politics
https://www.altnews.in/mulayam-singh-yadav-did-not-say-bjp-will-win-up-polls-statement-from-2015-bihar-polls/,Politics
https://www.altnews.in/muslim-clerics-photo-misused-to-show-him-encouraging-muslim-women-to-lure-hindu-men/,Religion
https://www.altnews.in/myntra-didnt-make-controversial-graphic-krishna-draupadi-disrobing/,Religion
https://www.altnews.in/new-zealand-pms-visit-to-hindu-temple-ahead-of-national-elections-viral-with-covid-spin/,Religion
https://www.altnews.in/news18-broadcast-2016-video-from-malaysia-as-chinese-national-beaten-in-pakistan/,Media
https://www.altnews.in/news18-kannda-uses-2019-image-from-bihar-floods-as-aftermath-of-recent-mumbai-rains/,News
